# Forestry
# 4.2.10.58 (58)
Beekeeping statistics for Muramasa_ on 24/03/16 18:29:

Mode: NORMAL

Discovered:
-----------
Queen:		0
Princess:	0
Drone:		0

Species (309):
--------------
X: Discovered
BL: Blacklisted
NC: Not counted for the species total

[ X  ] [ BL ] [ NC ]	UID                                      Species              Authority           
-------------------------------------------------------------------------------------------------------

[    ] [    ] [    ]	extrabees.species.arid                   Arid                 Binnie              
[    ] [    ] [    ]	extrabees.species.barren                 Barren               Binnie              
[    ] [    ] [    ]	extrabees.species.desolate               Desolate             Binnie              
[    ] [    ] [    ]	extrabees.species.gnawing                Gnawing              Binnie              
[    ] [    ] [    ]	extrabees.species.rotten                 Decaying             Binnie              
[    ] [    ] [    ]	extrabees.species.bone                   Skeletal             Binnie              
[    ] [    ] [    ]	extrabees.species.creeper                Creepy               Binnie              
[    ] [    ] [    ]	extrabees.species.decomposing            Decomposing          Binnie              
[    ] [    ] [    ]	extrabees.species.rock                   Rocky                Binnie              
[    ] [    ] [    ]	extrabees.species.stone                  Tolerant             Binnie              
[    ] [    ] [    ]	extrabees.species.granite                Robust               Binnie              
[    ] [    ] [    ]	extrabees.species.mineral                Resilient            Binnie              
[    ] [    ] [    ]	extrabees.species.copper                 Corroded             Binnie              
[    ] [    ] [    ]	extrabees.species.tin                    Tarnished            Binnie              
[    ] [    ] [    ]	extrabees.species.iron                   Rusty                Binnie              
[    ] [    ] [    ]	extrabees.species.lead                   Leaden               Binnie              
[    ] [    ] [    ]	extrabees.species.zinc                   Galvanized           Binnie              
[    ] [    ] [    ]	extrabees.species.titanium               Impregnable          Binnie              
[    ] [ BL ] [    ]	extrabees.species.                       Lustrous             Binnie              
[    ] [    ] [    ]	extrabees.species.tungstate              Invincible           Binnie              
[    ] [    ] [    ]	extrabees.species.gold                   Glittering           Binnie              
[    ] [    ] [    ]	extrabees.species.silver                 Shining              Binnie              
[    ] [    ] [    ]	extrabees.species.platinum               Valuable             Binnie              
[    ] [    ] [    ]	extrabees.species.lapis                  Lapis                Binnie              
[    ] [    ] [    ]	extrabees.species.emerald                Emerald              Binnie              
[    ] [    ] [    ]	extrabees.species.ruby                   Ruby                 Binnie              
[    ] [    ] [    ]	extrabees.species.sapphire               Sapphire             Binnie              
[    ] [    ] [    ]	extrabees.species.diamond                Diamond              Binnie              
[    ] [    ] [    ]	extrabees.species.unstable               Unstable             Binnie              
[    ] [    ] [    ]	extrabees.species.nuclear                Nuclear              Binnie              
[    ] [    ] [    ]	extrabees.species.radioactive            Radioactive          Binnie              
[    ] [    ] [    ]	extrabees.species.ancient                Ancient              Binnie              
[    ] [    ] [    ]	extrabees.species.primeval               Primeval             Binnie              
[    ] [    ] [    ]	extrabees.species.prehistoric            Prehistoric          Binnie              
[    ] [    ] [    ]	extrabees.species.relic                  Relic                Binnie              
[    ] [    ] [    ]	extrabees.species.coal                   Fossilised           Binnie              
[    ] [    ] [    ]	extrabees.species.resin                  Resinous             Binnie              
[    ] [    ] [    ]	extrabees.species.oil                    Oily                 Binnie              
[    ] [    ] [    ]	extrabees.species.distilled              Distilled            Binnie              
[    ] [    ] [    ]	extrabees.species.fuel                   Refined              Binnie              
[    ] [    ] [    ]	extrabees.species.creosote               Tarry                Binnie              
[    ] [    ] [    ]	extrabees.species.latex                  Elastic              Binnie              
[    ] [    ] [    ]	extrabees.species.water                  Water                Binnie              
[    ] [    ] [    ]	extrabees.species.river                  River                Binnie              
[    ] [    ] [    ]	extrabees.species.ocean                  Ocean                Binnie              
[    ] [    ] [    ]	extrabees.species.ink                    Stained              Binnie              
[    ] [    ] [    ]	extrabees.species.growing                Growing              Binnie              
[    ] [    ] [    ]	extrabees.species.thriving               Thriving             Binnie              
[    ] [    ] [    ]	extrabees.species.blooming               Blooming             Binnie              
[    ] [    ] [    ]	extrabees.species.sweet                  Sweetened            Binnie              
[    ] [    ] [    ]	extrabees.species.sugar                  Sugary               Binnie              
[    ] [    ] [    ]	extrabees.species.ripening               Ripening             Binnie              
[    ] [    ] [    ]	extrabees.species.fruit                  Fruity               Binnie              
[    ] [    ] [    ]	extrabees.species.alcohol                Fermented            Binnie              
[    ] [    ] [    ]	extrabees.species.farm                   Farmed               Binnie              
[    ] [    ] [    ]	extrabees.species.milk                   Bovine               Binnie              
[    ] [    ] [    ]	extrabees.species.coffee                 Caffeinated          Binnie              
[    ] [    ] [    ]	extrabees.species.swamp                  Damp                 Binnie              
[    ] [    ] [    ]	extrabees.species.boggy                  Sodden               Binnie              
[    ] [    ] [    ]	extrabees.species.fungal                 Fungal               Binnie              
[    ] [    ] [    ]	extrabees.species.basalt                 Embittered           Binnie              
[    ] [    ] [    ]	extrabees.species.tempered               Furious              Binnie              
[    ] [    ] [    ]	extrabees.species.volcanic               Volcanic             Binnie              
[    ] [    ] [    ]	extrabees.species.malicious              Malicious            Binnie              
[    ] [    ] [    ]	extrabees.species.infectious             Infectious           Binnie              
[    ] [    ] [    ]	extrabees.species.virulent               Virulent             Binnie              
[    ] [    ] [    ]	extrabees.species.viscous                Viscous              Binnie              
[    ] [    ] [    ]	extrabees.species.glutinous              Glutinous            Binnie              
[    ] [    ] [    ]	extrabees.species.sticky                 Sticky               Binnie              
[    ] [    ] [    ]	extrabees.species.corrosive              Corrosive            Binnie              
[    ] [    ] [    ]	extrabees.species.caustic                Caustic              Binnie              
[    ] [    ] [    ]	extrabees.species.acidic                 Acidic               Binnie              
[    ] [    ] [    ]	extrabees.species.excited                Excited              Binnie              
[    ] [    ] [    ]	extrabees.species.energetic              Energetic            Binnie              
[    ] [ BL ] [    ]	extrabees.species.ecstatic               Ecstatic             Binnie              
[    ] [    ] [    ]	extrabees.species.artic                  Frigid               Binnie              
[    ] [    ] [    ]	extrabees.species.freezing               Absolute             Binnie              
[    ] [    ] [    ]	extrabees.species.shadow                 Shadowed             Binnie              
[    ] [    ] [    ]	extrabees.species.darkened               Darkened             Binnie              
[    ] [    ] [    ]	extrabees.species.abyss                  Abyssal              Binnie              
[    ] [    ] [    ]	extrabees.species.red                    Maroon               Binnie              
[    ] [    ] [    ]	extrabees.species.yellow                 Saffron              Binnie              
[    ] [    ] [    ]	extrabees.species.blue                   Prussian             Binnie              
[    ] [    ] [    ]	extrabees.species.green                  Natural              Binnie              
[    ] [    ] [    ]	extrabees.species.black                  Ebony                Binnie              
[    ] [    ] [    ]	extrabees.species.white                  Bleached             Binnie              
